plz1;plz2;Distanz_convert_in_km
63834;93468;272.505
54616;85643;485.372
55278;55621;52.4411
35260;78259;335.236
71282;78247;122.499
25926;61137;516.44
02906;71134;509.355
63636;82442;321.838
06794;85375;367.15
38329;65553;262.148
21357;97956;407.42
06786;94375;309.803
66538;72294;130.622
67377;67700;50.4295
56745;84174;412.232
31618;48163;130.235
35759;82211;364.163
09517;91805;264.64
73575;89435;51.0516
28816;91474;397.202
37247;50679;200.145
85416;85649;49.4885
24598;35796;413.574
28844;65933;322.321
06861;25485;273.312
46414;83139;588.553
19075;95499;391.023
10713;96352;276.097
34516;54318;219.982
74740;98590;159.623
57572;94469;429.187
37620;65934;222.728
51588;55576;120.251
30457;77794;438.27
55626;59969;165.702
12347;42859;451.856
29559;95180;293.56
73563;81829;148.986
58135;84094;430.587
24539;85307;630.456
45277;95182;366.113
36369;55131;97.998
01558;74532;349.745
07639;87785;334.364
52070;74535;313.01
81827;93336;88.9799
65391;66557;95.2551
14165;35287;351.268
10829;24634;288.564
73116;93191;205.251
22929;31619;141.222
65618;87650;314.082
66882;89281;239.176
53879;71126;277.049
65201;81927;329.479
40629;58093;46.4677
89447;92665;177.832
23827;86573;622.013
04430;86863;363.911
55568;91793;245.315
24805;55590;518.331
76770;85259;237.877
93191;97246;191.819
79232;83088;328.314
09399;28205;374.625
46414;48317;70.3899
37284;87755;333.676
87490;89155;69.8095
92521;97279;157.077
25923;58730;382.478
54687;63939;208.225
24787;36460;387.211
08547;31234;242.808
24119;24879;45.47
21765;56370;393.113
49451;89555;453.412
08138;09246;17.8822
15366;24242;318.085
49084;66459;336.479
86492;93342;102.501
26556;67753;444.758
35285;76185;223.341
23996;91744;534.562
54343;80801;398.792
26487;88518;627.4
33604;79872;470.097
35239;74252;188.636
28779;89429;522.548
51598;83483;519.399
04451;31655;252.369
35041;66130;214.955
18181;86159;663.367
29643;38550;90.1032
21217;35796;354.106
76703;84160;286.258
39249;86462;394.719
42477;76863;238.137
72555;82281;141.898
04178;24988;419.211
01855;53804;483.366
39217;63533;294.165
32805;72469;412.204
15378;86169;499.223
40629;78166;384.909
47533;75050;357.512
09353;73252;341.432
67575;84187;312.14
63811;94574;312.082
53881;91555;298.978
07743;69126;271.32
53340;89191;305.18
87743;92729;215.324
18609;96328;495.703
31812;48231;90.6234
21483;83373;625.36
35440;95163;233.845
22529;25486;21.4512
73340;86875;93.708
42651;66113;214.153
34123;89614;335.189
39104;79283;542.058
55234;98716;222.18
24802;79774;746.608
19376;86567;548.559
70771;97857;141.01
09126;94152;265.417
67251;95615;287.883
08340;89176;290.821
74420;86859;135.993
61449;78147;240.295
04600;74420;295.138
63697;69257;118.146
35279;99084;136.633
12627;31618;306.657
39435;49536;244.603
72224;79429;117.95
74385;91541;82.7362
01099;32791;363.718
72070;72534;42.8347
27804;44575;196.642
16831;77787;622.404
63776;88074;264.814
86424;87466;77.2374
13597;32602;301.259
22607;81549;620.973
34289;48157;129.782
27721;93105;522.518
01728;85599;346.339
15837;56459;421.182
67373;89171;162.624
22179;91734;491.815
14055;93494;360.536
03226;38279;263.009
